0 Origin Path 1
1 Film Type-14 24
2 Recovery_Item Herbal_Medicine 2
3 Film Type-14 24
4 Recovery_Item Herbal_Medicine 1
5 Recovery_Item Purifying_Ember 1
6 Film Type-14 12
7 Film Type-90 12
8 Recovery_Item Herbal_Medicine 2
9 Recovery_Item Sacred_Water 1
10 Document Water-Design_Journal_5 1
11 Recovery_Item Herbal_Medicine 2
12 Recovery_Item Sacred_Water 1
13 Recovery_Item Purifying_Ember 1
14 Recovery_Item Herbal_Medicine 2
15 Film Type-61 24
16 Recovery_Item Purifying_Ember 1
17 Recovery_Item Sacred_Water 1
18 Destination Doll_Shrine 1

